stableKey,defaultRestSeconds,provenanceId,derivationMode,reviewStatus,sourceStableKey,sourceReference
ex_8e69fc74,45,TIMING-ex_8e69fc74,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_8e69fc74,app/src/main/assets/training_settings_seed.csv#ex_8e69fc74
ex_91b749b3,60,TIMING-ex_91b749b3,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_91b749b3,app/src/main/assets/training_settings_seed.csv#ex_91b749b3
ex_91d8430b,90,TIMING-ex_91d8430b,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_91d8430b,app/src/main/assets/training_settings_seed.csv#ex_91d8430b
ex_91f6958d,90,TIMING-ex_91f6958d,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_91f6958d,app/src/main/assets/training_settings_seed.csv#ex_91f6958d
ex_93538692,60,TIMING-ex_93538692,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_93538692,app/src/main/assets/training_settings_seed.csv#ex_93538692
ex_95028bfe,45,TIMING-ex_95028bfe,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_95028bfe,app/src/main/assets/training_settings_seed.csv#ex_95028bfe
ex_9b132c23,60,TIMING-ex_9b132c23,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_9b132c23,app/src/main/assets/training_settings_seed.csv#ex_9b132c23
ex_9bd6dddb,45,TIMING-ex_9bd6dddb,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_9bd6dddb,app/src/main/assets/training_settings_seed.csv#ex_9bd6dddb
ex_9f283612,90,TIMING-ex_9f283612,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_9f283612,app/src/main/assets/training_settings_seed.csv#ex_9f283612
ex_a091b9fe,105,TIMING-ex_a091b9fe,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_a091b9fe,app/src/main/assets/training_settings_seed.csv#ex_a091b9fe
ex_a12de111,45,TIMING-ex_a12de111,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_a12de111,app/src/main/assets/training_settings_seed.csv#ex_a12de111
ex_a12de4d2,30,TIMING-ex_a12de4d2,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_a12de4d2,app/src/main/assets/training_settings_seed.csv#ex_a12de4d2
ex_a345e30b,60,TIMING-ex_a345e30b,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_a345e30b,app/src/main/assets/training_settings_seed.csv#ex_a345e30b
ex_a3ddd8ac,45,TIMING-ex_a3ddd8ac,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_a3ddd8ac,app/src/main/assets/training_settings_seed.csv#ex_a3ddd8ac
