image_key,exercise_name_ko,english_name,source_zip_path,intended_asset_path,restored_asset_path,bytes,width,height,match_method
concentration_curl,컨센트레이션 컬,컨센트레이션컬,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/59_concentration_curl.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/59_concentration_curl.png,exercise_images/local_downloads/concentration_curl.png,137343,330,330,exact
reverse_curl,리버스 컬,리버스컬,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/60_reverse_curl.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/60_reverse_curl.png,exercise_images/local_downloads/reverse_curl_2.png,142871,330,330,exact
preacher_curl,프리처 컬,프리처컬,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/61_preacher_curl.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/61_preacher_curl.png,exercise_images/local_downloads/preacher_curl.png,120638,330,330,exact
spider_curl,스파이더 컬,스파이더컬,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/62_spider_curl.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/62_spider_curl.png,exercise_images/local_downloads/spider_curl.png,125904,330,330,exact
cable_curl,케이블 컬,케이블컬,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/63_cable_curl.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/63_cable_curl.png,exercise_images/local_downloads/cable_curl.png,147469,330,330,exact
,트라이셉스 푸시다운,트라이셉스푸시다운,,exercise_images/local_downloads/previous_style/exercise_images_64_94/64_트라이셉스_푸시다운.png,,0,,,missing_zip_entry
,케이블 원암 트라이셉스 익스텐션,케이블원암트라이셉스익스텐션,,exercise_images/local_downloads/previous_style/exercise_images_64_94/65_케이블_원암_트라이셉스_익스텐션.png,,0,,,missing_zip_entry
,오버헤드 트라이셉스 익스텐션,오버헤드트라이셉스익스텐션,,exercise_images/local_downloads/previous_style/exercise_images_64_94/66_오버헤드_트라이셉스_익스텐션.png,,0,,,missing_zip_entry
,원암 덤벨 오버헤드 트라이셉스 익스텐션,원암덤벨오버헤드트라이셉스익스텐션,,exercise_images/local_downloads/previous_style/exercise_images_64_94/67_원암_덤벨_오버헤드_트라이셉스_익스텐션.png,,0,,,missing_zip_entry
,라잉 트라이셉스 익스텐션,라잉트라이셉스익스텐션,,exercise_images/local_downloads/previous_style/exercise_images_64_94/68_라잉_트라이셉스_익스텐션.png,,0,,,missing_zip_entry
